Accipiter gentilis
ACcipiter nisus
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Aegithalos caudatus
Aegolius funereus
Aix galericulata
Aulada arvensis
Alcedo atthis
Anas crecca
Anas platyrhynchos
Anas querquedula
Anser anser
Anser fabalis
Anthus pratensis
Anthus spinoletta
Anthus trivialis
Apus apus
Aquila chrysaetos
Ardea cinerea
Asio flammeus
Asio otus
Athene noctua
Aythya ferina
Aythya fuligula
Bombycilla garrulus
Branta canadensis
Branta leucopsis
Bubo bubo
Bucephala clangula
Buteo buteo
Calidris alpina
Caprimulgus europaeus
Carduelis cabaret
Carduelis cannabina
Carduelis carduelis
Carduelis flammea
Carduelis spinus
Certhia brachydactyla
Certhia familiaris
Charadrius dubius
Charadrius hiaticula
Chlidonias niger
Chloris chloris
Ciconia ciconia
Ciconia nigra
Cinclus cinclus
Circus aeruginosus
Coccothraustes coccothraustes
Columbia livia domestica
Columba oenas
Columba palumbus
Corvus corax
Corvus cornix
Corvus corone
Corvus frugileus
Corvus monedula
Coturnix coturnix
Crex crex
Cuculus canorus
Cygnus bewickii
Cygnus cygnus
Cygnus olor
