taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2473484	Syrmaticus soemmerringii (Temminck, 1830)	2473484	Syrmaticus soemmerringii (Temminck, 1830)	196	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Syrmaticus	2473476	Syrmaticus soemmerringii	2473484
2476044	Hylonympha macrocerca Gould, 1873	2476044	Hylonympha macrocerca Gould, 1873	39	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Hylonympha	2476043	Hylonympha macrocerca	2476044
2478211	Sasia ochracea Hodgson, 1837	2478211	Sasia ochracea Hodgson, 1837	1493	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Sasia	2478206	Sasia ochracea	2478211
2478853	Andigena cucullata (Gould, 1846)	2478853	Andigena cucullata (Gould, 1846)	132	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Ramphastidae	9343	Andigena	2478852	Andigena cucullata	2478853
2480588	Accipiter soloensis (Horsfield, 1821)	2480588	Accipiter soloensis (Horsfield, 1821)	5412	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Accipiter	9405810	Accipiter soloensis	2480588
2481473	Pterodroma feae (Salvadori, 1900)	2481473	Pterodroma feae (Salvadori, 1900)	605	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Pterodroma	2481443	Pterodroma feae	2481473
2481831	Gallinago media (Latham, 1787)	4966626	Capella media (Latham, 1787)	849	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Capella	8005351	Capella media	4966626
2482856	Suiriri affinis (Burmeister, 1856)	6174756	Suiriri suiriri affinis (Burmeister, 1856)	451	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Suiriri	2482850	Suiriri suiriri	2482852
2485279	Premnoplex brunnescens (P.L.Sclater, 1856)	2485279	Premnoplex brunnescens (P.L.Sclater, 1856)	11997	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Premnoplex	2485275	Premnoplex brunnescens	2485279
2485377	Syndactyla rufosuperciliata (Lafresnaye, 1832)	2485377	Syndactyla rufosuperciliata (Lafresnaye, 1832)	6998	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Syndactyla	2485356	Syndactyla rufosuperciliata	2485377
2486617	Crateroscelis robusta (De Vis, 1898)	2486617	Crateroscelis robusta (De Vis, 1898)	500	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Acanthizidae	3241751	Crateroscelis	2486615	Crateroscelis robusta	2486617
2487997	Euphonia imitans (Hellmayr, 1936)	2487997	Euphonia imitans (Hellmayr, 1936)	5700	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Euphonia	2487948	Euphonia imitans	2487997
2490202	Myrmotherula schisticolor (Lawrence, 1865)	2490202	Myrmotherula schisticolor (Lawrence, 1865)	11302	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Myrmotherula	2490167	Myrmotherula schisticolor	2490202
2491769	Idiopsar brachyurus Cassin, 1867	2491769	Idiopsar brachyurus Cassin, 1867	130	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Idiopsar	2491768	Idiopsar brachyurus	2491769
2492569	Muscicapa adusta (F.Boie, 1828)	2492569	Muscicapa adusta (F.Boie, 1828)	9347	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Muscicapa	2483240	Muscicapa adusta	2492569
2492724	Apalis chariessa Reichenow, 1879	2492724	Apalis chariessa Reichenow, 1879	38	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cisticolidae	9293	Apalis	2492701	Apalis chariessa	2492724
2492919	Macrosphenus flavicans Cassin, 1859	2492919	Macrosphenus flavicans Cassin, 1859	457	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Macrosphenidae	6100868	Macrosphenus	2492914	Macrosphenus flavicans	2492919
2494892	Parotia sefilata (J.R.Forster, 1781)	2494892	Parotia sefilata (J.R.Forster, 1781)	221	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paradisaeidae	5711	Parotia	2494889	Parotia sefilata	2494892
2495376	Zenaida galapagoensis Gould, 1841	2495376	Zenaida galapagoensis Gould, 1841	4165	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Zenaida	2495346	Zenaida galapagoensis	2495376
2498008	Tadorna cristata (Kuroda, 1917)	2498008	Tadorna cristata (Kuroda, 1917)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Tadorna	7485221	Tadorna cristata	2498008
2498429	Rhinopomastus minor (Ruppell, 1845)	2498429	Rhinopomastus minor (Ruppell, 1845)	1902	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Bucerotiformes	716	Phoeniculidae	6178	Rhinopomastus	2498425	Rhinopomastus minor	2498429
4352370	Leucophaeus scoresbii (Traill, 1823)	4352370	Leucophaeus scoresbii (Traill, 1823)	7594	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus scoresbii	4352370
4966671	Pteroptochos castaneus Philippi & Landbeck, 1864	4966671	Pteroptochos castaneus Philippi & Landbeck, 1864	911	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Rhinocryptidae	5281	Pteroptochos	2491018	Pteroptochos castaneus	4966671
5230739	Onychognathus morio (Linnaeus, 1766)	5230739	Onychognathus morio (Linnaeus, 1766)	16384	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Onychognathus	2488984	Onychognathus morio	5230739
5231025	Geospiza fuliginosa Gould, 1837	5231025	Geospiza fuliginosa Gould, 1837	7018	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Geospiza	5231020	Geospiza fuliginosa	5231025
5231354	Bradypterus graueri Neumann, 1908	5231354	Bradypterus graueri Neumann, 1908	125	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Locustellidae	6100825	Bradypterus	3242162	Bradypterus graueri	5231354
7341965	Melaniparus fasciiventer	7341965	Melaniparus fasciiventer	392	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Melaniparus	7341941	Melaniparus fasciiventer	7341965
2473477	Syrmaticus reevesii (J.E.Gray, 1829)	2473477	Syrmaticus reevesii (J.E.Gray, 1829)	130	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Syrmaticus	2473476	Syrmaticus reevesii	2473477
2474075	Polyplectron napoleonis (Lesson, 1831)	2474075	Polyplectron napoleonis (Lesson, 1831)	188	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Polyplectron	2474073	Polyplectron napoleonis	2474075
2474960	Grus nigricollis Prjevalsky, 1876	2474960	Grus nigricollis Prjevalsky, 1876	831	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Gruidae	9313	Grus	2474940	Grus nigricollis	2474960
2479075	Forpus xanthopterygius (Spix, 1824)	2479075	Forpus xanthopterygius (Spix, 1824)	17519	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Forpus	2479059	Forpus xanthopterygius	2479075
2482414	Aphelocoma californica (Vigors, 1839)	2482414	Aphelocoma californica (Vigors, 1839)	1046000	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Aphelocoma	2482394	Aphelocoma californica	2482414
2482945	Myiopagis flavivertex (P.L.Sclater, 1887)	2482945	Myiopagis flavivertex (P.L.Sclater, 1887)	602	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiopagis	2482944	Myiopagis flavivertex	2482945
2484613	Vidua chalybeata (Statius Muller, 1776)	2484613	Vidua chalybeata (Statius Muller, 1776)	5373	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Viduidae	5295	Vidua	2484612	Vidua chalybeata	2484613
2484623	Vidua fischeri (Reichenow, 1882)	2484623	Vidua fischeri (Reichenow, 1882)	736	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Viduidae	5295	Vidua	2484612	Vidua fischeri	2484623
